date,locality,state,type,claims,size_mean,arrests
2012-02-27,Seattle,WA,demonstration,Resign Police Chief John Diaz; Police brutality; Address police use of force; Native American rights; Hold Officer Ian Birk accountable,,10
2012-03-01,New York City,NY,demonstration,Stop indefinite detention of U.S. citizens; civil liberties; terrorism policy,,0
2012-03-01,Sanford,FL,demonstration,Self-Defense Laws; Arrest of George Zimmerman; Police accountability; Justice for Trayvon Martin; Racial justice; Racial Violence,,0
2012-03-03,New York,NY,demonstration,religious discrimination; police surveillance; Stop surveillance of Muslim student groups,,0
2012-03-07,Jacksonville,IL,demonstration,Police misconduct,,0
2012-03-15,Montreal,QC,demonstration,police brutality; Protest against police brutality,2.0,100
2012-03-17,New York,NY,demonstration,Police tactics; Protest police tactics; Police misconduct; Protester's Bill of Rights; Protest six-month movement anniversary; First Amendment rights; Occupy movement,,73
2012-03-21,New York City,NY,demonstration,Police brutality; Racial justice; Arrest of George Zimmerman,,0
2012-03-21,New York,NY,demonstration,Arrest of George Zimmerman; Arrest George Zimmerman; Police brutality; Racial injustice; Justice for Trayvon Martin; Police Brutality; Racial Violence,1.0,1
2012-03-21,Philadelphia,PA,demonstration,Police brutality; Racial justice; Arrest of George Zimmerman,,0
2012-03-23,Dallas,TX,demonstration,Police brutality; Arrest George Zimmerman; Justice for Trayvon Martin; Racial violence,,0
2012-03-23,North Miami Beach,FL,demonstration,racial justice; Justice for Trayvon Martin; police violence,,0
2012-03-23,Philadelphia,PA,demonstration,Arrest of George Zimmerman; Police brutality; Racial injustice; racial justice; police brutality; Justice for Trayvon Martin,,0
2012-03-23,Wichita,KS,demonstration,Police brutality; Arrest George Zimmerman; Repeal stand-your-ground law; Racial injustice,,0
2012-03-24,Chicago,IL,demonstration,Racial violence; Police brutality; Racial injustice; Justice for Trayvon Martin; Racial justice,,0
2012-03-24,New York,NY,demonstration,NYPD Commissioner Ray Kelly's Resignation; Racial Discrimination; Police brutality; Police Brutality; End Police Brutality,,14
2012-03-24,Pasadena,CA,demonstration,Police brutality; Racial justice; Police accountability; Transparent investigation,,0
2012-03-24,Tampa,FL,demonstration,Racial injustice; Charge George Zimmerman; Justice for Trayvon Martin; Police brutality,,0
2012-03-24,Washington,DC,demonstration,Racial injustice; Justice for Trayvon Martin; Police brutality,,0
2012-03-25,Colorado Springs,CO,demonstration,Racial justice; Police accountability; Arrest of George Zimmerman,300.0,0
2012-03-25,Phoenix,AZ,demonstration,Police brutality; Justice for Trayvon Martin; Racial justice,,0
2012-03-25,Sanford,FL,demonstration,Police brutality; Stand your ground laws; Thorough investigation of Trayvon Martin's death,,0
2012-03-25,Seattle,WA,demonstration,Amend 'Stand Your Ground' law; Racial justice; Police brutality; Arrest of George Zimmerman,,0
2012-03-26,Allentown,PA,demonstration,Arrest George Zimmerman; Repeal Stand Your Ground laws; Racial discrimination; Police brutality; Challenge racial profiling,,0
2012-03-26,Atlanta,GA,demonstration,Investigate Trayvon Martin Shooting; Amend Stand Your Ground Law; Police Brutality; Racial Justice,,0
2012-03-26,Baltimore,MD,demonstration,Arrest of George Zimmerman; Arrest George Zimmerman; Racial injustice; Police brutality; Justice for Trayvon Martin,,0
2012-03-26,Chicago,IL,demonstration,Investigate shooting; Arrest George Zimmerman; Review 'Stand Your Ground' law; Police brutality; Racial justice,,0
2012-03-26,Detroit,MI,demonstration,Prosecute George Zimmerman; Justice for Trayvon Martin; Police brutality; Racial injustice,,0
2012-03-26,Elizabeth City,NC,demonstration,Arrest George Zimmerman; Investigate Trayvon Martin's shooting; Racial justice; Police misconduct,,0
2012-03-26,Greenville,NC,demonstration,Trial for George Zimmerman; Arrest George Zimmerman; Police brutality; Stand your ground law; Justice for Trayvon Martin; Racial justice,200.0,0
2012-03-26,Indianapolis,IN,demonstration,Racial injustice; Justice for Trayvon Martin; Police brutality,,0
2012-03-29,Bronx,NY,demonstration,Arrest Officer Richard Haste; Justice for Ramarley Graham; Police brutality,,0
2012-03-29,Minneapolis,MN,demonstration,Justice for Trayvon Martin; Police Brutality; Racial Discrimination,5.0,0
2012-03-30,DeKalb,IL,demonstration,Police Violence; Justice for Trayvon Martin; Racial Justice,,0
2012-03-30,Kingston,RI,demonstration,racial justice; Justice for Trayvon Martin; police brutality,,0
2012-03-30,Palmetto,FL,demonstration,Reduce violence; Race relations; Police brutality; Community understanding; Community safety,400.0,0
2012-03-30,Providence,RI,demonstration,racial justice; Justice for Trayvon Martin; police brutality,,0
2012-03-31,Hempstead,NY,demonstration,Justice for Trayvon Martin's family; Arrest George Zimmerman; Prosecute George Zimmerman; Police brutality; Racial justice,400.0,0
2012-03-31,Sanford,FL,demonstration,Investigate shooting; Racial justice; Self-defense laws; Racial discrimination; Racial injustice; racial injustice; Stand Your Ground law; Racial Justice; police brutality; Federal investigation; Police Brutality; Gun violence; Arrest of George Zimmerman; Arrest George Zimmerman; Prosecute George Zimmerman; Police brutality; Examine Stand Your Ground law; Justice for Trayvon Martin; Police accountability,1.0,0
2012-04-01,Indianapolis,IN,demonstration,Police brutality; Arrest George Zimmerman; Racial profiling,,13
2012-04-02,Portland,OR,demonstration,Hold police accountable; Review Arbitration System; Review arbitration system; Police brutality; Fire Officer Ron Frashour; Fire Ron Frashour; Racial injustice; Racial Justice; Hold Police Accountable; Remove Officer Ronald Frashour from police bureau; Racial justice; Police Brutality,,0
2012-04-03,Portland,OR,demonstration,Seek justice for Aaron Campbell; Review arbitration system; Police brutality; Racial injustice; Remove Officer Ronald Frashour from police bureau,,0
2012-04-07,Georgetown,DE,demonstration,Reform 'stand your ground' laws; Arrest George Zimmerman; Racial justice; Police violence,,0
2012-04-07,Sanford,FL,demonstration,Racial justice; Police accountability; Arrest of George Zimmerman,,0
2012-04-08,Birmingham,AL,demonstration,Police brutality; Justice for Trayvon Martin; Stop racial profiling; Racial discrimination,100.0,0
2012-04-09,West Point,AL,demonstration,Address police harassment; Racial tensions; Policing practices,100.0,0
2012-04-09,West Point,GA,demonstration,Police brutality; Address police harassment; Stop racial profiling; Racial discrimination,,0
2012-04-10,Austin,TX,demonstration,Police brutality; Change police use of force practices; Racial discrimination,,0
2012-04-10,Sanford,FL,demonstration,Racial justice; Police accountability; Arrest of George Zimmerman,,0
2012-04-10,Stockton,CA,demonstration,Stop police brutality; Police brutality; Racial injustice; police brutality; Justice for shooting victims,250.0,1
2012-04-14,Garfield,NJ,demonstration,Police brutality; Arrest of police officers involved in shooting; Racial discrimination,,0
2012-04-16,Stockton,CA,demonstration,Police brutality; Independent FBI investigation of police killings; Racial justice; Stop police shootings,,0
2012-04-23,Detroit,MI,demonstration,Justice for Davontae Sanford; Justice for Aiyana Stanley-Jones; Racial Justice; Police Brutality; Arrest of police officers involved,,0
2012-04-24,Washington,DC,demonstration,Judicial system corruption; Challenge police and judicial corruption; Racial discrimination; Police brutality; Release of Mumia Abu-Jamal,,24
2012-05-01,Monterey Park,CA,demonstration,Reform police misconduct; civil liberties; Stop police brutality; workers' rights; police brutality,,0
2012-05-08,Stockton,CA,demonstration,Justice for police brutality victims; Racial justice; Police brutality,,0
2012-05-11,Berkeley,CA,demonstration,Educational equity; Greater representation of minority students; Racial representation,,0
2012-05-12,Oakland,CA,demonstration,Racial justice; Attend City Council meeting; Police brutality; racial justice; City Council accountability; Racial injustice; Police Accountability; Racial Justice; police brutality; Justice for Alan Blueford; Police accountability; Police Brutality,200.0,0
2012-05-16,Houston,TX,demonstration,Police brutality; Racial justice; Vote participation; Jury reform,200.0,0
2012-05-17,Houston,TX,demonstration,Vote for change; Remove Mayor; Racial justice; Racial discrimination; Police brutality; Remove District Attorney; Justice for Chad Holley; End racism; Police accountability; No more all-white juries,36.0,0
2012-05-18,Houston,TX,demonstration,Meeting with District Attorney; Racial justice; Police misconduct,,3
2012-06-06,Chicago,IL,demonstration,NATO Summit; Student protests,12.0,12
2012-06-09,Groton,CT,demonstration,Civil rights; FBI investigation of civil rights violation; Justice for Ryan O'Loughlin; Police misconduct; Police accountability,,0
2012-06-15,Wilmington,DE,demonstration,Gun violence; Place two community members on gun task force; Meet with residents; Assign more patrol officers to neighborhoods,40.0,0
2012-06-16,New York,NY,demonstration,Protect rights of black and Hispanic citizens; Civil rights; Racial discrimination; Police brutality; End stop-and-frisk policing,,0
2012-06-17,Harlem,NY,demonstration,Civil rights; Stop racial profiling; End stop-and-frisk program; Racial discrimination; Police brutality,,0
2012-06-17,New York,NY,demonstration,Stop racial profiling; Police violence; End NYPD stop-and-frisk tactics; Racial discrimination; Police brutality; End stop-and-frisk tactics; End stop-and-frisk policing; End stop-and-frisk policy,,0
2012-06-23,Phoenix,AZ,demonstration,Close Tent City jail complex; Police misconduct; Criminal Justice; Close Tent City; Police brutality; Stop inhumane detention conditions; Criminal justice; End racial profiling; Detention conditions; Challenge immigration enforcement; Immigration; Reform immigration enforcement,,0
2012-07-07,Belfast,Northern Ireland,demonstration,Let Lennox live; animal rights,,0
2012-07-16,San Francisco,CA,demonstration,Police brutality; police accountability; police brutality; investigation into Kenneth Harding's death; Seek federal charges against officers involved in Harding's shooting; Racial justice,,0
2012-07-21,Anaheim,CA,demonstration,Racial profiling; Sensitivity training for officers; Police violence; Independent investigation; Racial discrimination; Police brutality; Federal probe of police shootings; Police accountability; Citizen review commission,100.0,5
2012-07-24,Anaheim,CA,demonstration,Changes in city government; Police Reform; Community Violence; Justice; police violence; Justice for Manuel Diaz; Racial inequity; Racial discrimination; Investigation of shootings; Police brutality; racial justice; police brutality; Police accountability; Police Brutality; Police violence,1.0,24
2012-07-24,Dallas,TX,demonstration,Police brutality; Stop police killings,,0
2012-07-28,Chicago,IL,demonstration,police brutality; disability rights; End police brutality,,0
2012-07-29,Anaheim,CA,demonstration,Social justice; Community accountability; Police reform; Police brutality; Police Accountability; Community Peace; Racial Justice; Police Brutality,200.0,0
2012-07-30,Anaheim,CA,demonstration,Community peace; Police brutality; Racial injustice; Police accountability; Stop police violence; Racial justice,,9
2012-07-31,Dallas,TX,demonstration,End 'shoot to kill' policy; Police Brutality; Racial Discrimination,,0
2012-08-06,San Diego,CA,demonstration,Police brutality; Remove Officer McCarthy from duty; Justice for Victor Ortega; Officer-involved shooting,,0
2012-08-16,Oakland,CA,demonstration,WikiLeaks; Government Transparency; Military Whistleblowing; Whistleblower Rights; Justice for Bradley Manning; Government transparency; Military whistleblowing,100.0,6
2012-08-27,Newburgh,NY,demonstration,Police reform; Police accountability; Police brutality,100.0,0
2012-09-04,Charlotte,NC,demonstration,Release Bradley Manning; Military transparency; Free Bradley Manning; Raise Veterans' Awareness; WikiLeaks; Military Transparency; Political protest; Military whistleblowing,200.0,26
2012-09-10,Vallejo,CA,demonstration,Justice for Mario Romero; Investigate police shooting; Stop police brutality; Police brutality; officer-involved shooting; Release Mario Romero's body; police brutality; Officer-involved shooting,,0
2012-09-18,Oakland,CA,demonstration,Police Brutality; Solidarity with black community; Address police violence; Social Justice,,0
2012-09-20,Shreveport,LA,demonstration,Investigate police use of deadly force; Excessive force; Police brutality,,0
2012-09-25,Baltimore,MD,demonstration,Accountability for police brutality; Law enforcement accountability; Police brutality; Investigation of police actions; Justice for Anthony Anderson,,0
2012-09-25,Houston,TX,demonstration,Independent civilian review board; Prosecutorial power for review board; Police brutality; Mental health; Subpoena power for oversight board; Proper funding for oversight,,0
2012-09-30,Baltimore,MD,demonstration,Police brutality; Federal investigation of police brutality; Justice for Anthony Anderson Sr.; Racial injustice,,0
2012-10-02,Oakland,CA,demonstration,Release of police incident report; Police accountability; Police brutality,,0
2012-10-03,Milwaukee,WI,demonstration,Criminal charges for Williams' death; Federal civil rights investigation into Milwaukee Police Department; Police brutality; Resignation of Police Chief Edward Flynn; Racial justice,,0
2012-10-03,Oakland,CA,demonstration,Release of complete police shooting report; Police brutality; Accountability for police shooting; Police accountability; Officer-involved shooting,,0
2012-10-10,Mobile,AL,demonstration,Change police department guidelines; Student safety; Campus safety; Minimize use of lethal force; campus safety; Investigate police shooting; Police brutality; Supply officers with Tasers; police brutality; Police accountability; Improve de-escalation training,,0
2012-10-25,Oakland,CA,demonstration,Peaceful change; Commemoration of original movement; Political change; Social justice; Positive social change; Occupy movement; Free speech; Economic justice; Political protest; Economic inequality; Commemorate original encampment; Police accountability; Positive change,30.0,1
2012-10-28,Durham,NC,demonstration,Police brutality; Investigate police misconduct,,0
2012-10-28,Philadelphia,PA,demonstration,Punishment for Lt. Josey; Fair investigation of police officer; Police Brutality; Racial Discrimination,100.0,0
2012-11-10,Prineville,OR,demonstration,Legal injustice; Prove Ryan Cole's innocence; Stop police corruption; Police misconduct,,0
2012-11-11,Oakland,CA,demonstration,Racial injustice; Justice for Alan Blueford; Racial justice; Police violence,300.0,0
2012-11-20,Durham,NC,demonstration,Police brutality; Remove accused officer from duty; Investigate alleged police brutality; Law enforcement accountability,,0
2012-12-01,Oakland,CA,demonstration,Racial profiling; Stop racial profiling; Stop police brutality; Police brutality; Racial injustice; Police violence,,0
2012-12-07,Lansing,MI,demonstration,Union membership; Halt right-to-work legislation; Labor rights,,0
2012-12-15,Seattle,WA,demonstration,Police reform; Accountability; Police misconduct; Increased transparency,,0
2012-12-15,Walla Walla,WA,demonstration,Community rights; Public space access; City and downtown foundation work with all community members; Stop discriminatory park management tactics,,0
2012-12-28,Charlottesville,VA,demonstration,Increase police investigation efforts; Transgender rights; Community awareness about missing person; Missing person,,0
2012-12-28,Macon,GA,demonstration,Police brutality; Fire Officer Clayton Sutton; Racial justice; Prosecute Officer Clayton Sutton,50.0,0
2013-01-12,Madison,WI,demonstration,Establish independent review mechanism for police use of force; Police Brutality; Police Accountability; Independent investigation of Paul Heenan shooting,200.0,0
2013-01-12,Providence,RI,demonstration,racial profiling; Racial profiling; Police misconduct; Racial discrimination; Drop all charges from raid; Apology from the city; Drop all charges from the raid; End policing in West End; police brutality,100.0,0
2013-01-13,Hampstead,NH,demonstration,Animal rights; Change animal protection law; Remove 'worrying' language from law,,0
2013-01-13,Santa Ana,CA,demonstration,Justice for Binh Van Nguyen; Police shooting; Excessive force; Police misconduct; Police brutality,,0
2013-01-31,Macon,GA,demonstration,Complete shooting investigation; Police brutality; Police accountability; Review police disciplinary records; Racial justice,,0
2013-02-01,Bronx,NY,demonstration,Stop inappropriate police treatment of children; Child treatment by law enforcement; Police brutality,,0
2013-02-01,Chicago,IL,demonstration,Raise trauma center age limit from 15 to 21; Gun violence; Drop charges against protesters; Police brutality; Reopen level 1 trauma center; Healthcare access,,4
2013-02-03,Bronx,NY,demonstration,racial profiling; police violence; Remember Ramarley Graham; Prevent police brutality; police brutality,200.0,0
2013-02-05,Sanford,FL,demonstration,Peace; End to gun violence; Racial violence; Police brutality,,0
2013-02-14,Milwaukee,WI,demonstration,Police brutality; New medical examiner review policy; Police accountability; Review of police custody death determinations,,0
2013-02-16,Los Angeles,CA,demonstration,Investigate police corruption; Challenge perceived racism in LAPD; End police brutality; Law enforcement accountability; Expose police corruption; racial discrimination; End police corruption; Police misconduct; Racial discrimination; Address police brutality; Police brutality; Police corruption; Challenge police corruption; police misconduct; Challenge police brutality; Police accountability; Ensure due process; Highlight police brutality,,0
2013-02-20,Los Angeles,CA,demonstration,Christopher Dorner case; Police misconduct; Investigate police actions,,0
2013-02-26,Vallejo,CA,demonstration,Prosecute police officers involved in shooting; Racial justice; Police violence,,0
2013-03-09,Brooklyn,NY,demonstration,Police brutality; Racial discrimination; End stop and frisk policy; Stop police brutality,,24
2013-03-09,Chattanooga,TN,demonstration,Civil rights; Amend civilian review board rules; Police misconduct; Improve police legal training; Increase accountability for police misconduct,,0
2013-03-09,Milton,MA,demonstration,Fire Carmen Ortiz; Prosecutorial misconduct; Cybercrime; Justice for Aaron Swartz; Internet freedom; Prosecutorial ethics,,0
2013-03-11,Brooklyn,NY,demonstration,police brutality; Justice for Kimani Gray; youth anger; police shooting,,1
2013-03-12,Berkeley,CA,demonstration,Police brutality; Police accountability; Justice for Kayla Moore; LGBTQ+ rights,75.0,0
2013-03-13,Brooklyn,NY,demonstration,Police Violence; racial profiling; police violence; Racial profiling; Youth violence; Police violence; Racial justice; Youth shooting; Racial discrimination; Police brutality; Justice for Kimani Gray; Police Accountability; Racial Justice; racial violence; police brutality; Stop police violence; Police accountability; justice for Kimani Gray,100.0,18
2013-03-15,Brooklyn,NY,demonstration,Racial justice; Justice for Kimani Gray; Police accountability; Police violence,,0
2013-03-15,Macon,GA,demonstration,civil rights; police brutality; DOJ civil rights investigation,,1
2013-03-15,Seattle,WA,demonstration,Police brutality; Police violence; End police brutality; Stop police brutality,,0
2013-03-16,Brooklyn,NY,demonstration,Justice for Kimani Gray; Racial justice; Police violence,,0
2013-03-16,Macon,GA,demonstration,Police brutality; Investigate police brutality; Address racial profiling; Racial discrimination,,0
2013-03-24,Brooklyn,NY,demonstration,Police brutality; Racial injustice; Charge officers who shot Kimani Gray,100.0,0
2013-03-29,Milwaukee,WI,demonstration,Enhanced police transparency; Police brutality; Justice for Derek Williams; Accountability for Derek Williams' death; Community review board; Police accountability,,3
2013-03-31,Fresno,CA,demonstration,Racial discrimination; Police violence; Stop racial profiling; Stop police brutality,60.0,0
2013-04-05,Queens,NY,demonstration,Police brutality; Racial discrimination,,0
2013-04-09,Atlanta,GA,demonstration,Police brutality,,1
2013-04-14,Pomona,CA,demonstration,Police brutality; Seek answers about Andres Avila's shooting; Challenge police use of force; Law enforcement accountability,,0
2013-04-16,Macon,GA,demonstration,Resignation of Mayor Robert Reichert; Racial discrimination; Police brutality; Justice for Sammie Davis Jr.; Resignation of Police Chief Mike Burns,30.0,0
2013-04-25,Durham,NC,demonstration,End violence; Protect children; Community violence; Reduce gun violence; Crime victims' rights,100.0,0
2013-04-29,Pleasantville,NJ,demonstration,Fire involved officers; Hold officers accountable; Police brutality; Fire police officers; Police accountability; Police violence,,0
2013-04-29,Raleigh,NC,demonstration,Voting rights; Racial discrimination; Oppose voter ID measure,,17
2013-04-30,Raleigh,NC,demonstration,Voting rights; Racial discrimination; Oppose voter ID measure,,17
2013-05-07,Pueblo,CO,demonstration,police accountability; citizen review committee; more police training; child safety,75.0,0
2013-05-16,Bakersfield,CA,demonstration,Stop police brutality; Protect citizen rights; Investigate David Sal Silva's death; Law Enforcement Accountability; Police Brutality,,0
2013-05-23,Salem,MA,demonstration,Free speech; Free Cameron Dambrosio; Challenge terrorism charges; Youth justice,,0
2013-05-31,Minneapolis,MN,demonstration,Independent investigation of Terrance Franklin's death; Racial justice; Police brutality; Prosecution of involved police officers,,0
2013-06-01,Minneapolis,MN,demonstration,Police brutality; Prosecute police; Police accountability; Independent investigation of shooting,,0
2013-06-10,Dallas,TX,demonstration,Raise awareness about police shootings; Justice for Clinton Allen; Indict Officer Clark Staller; Police brutality; Racial injustice,,0
2013-06-10,Minneapolis,MN,demonstration,police brutality; racial justice; Independent investigation of Terrance Franklin's death,100.0,0
2013-06-12,Norfolk,VA,demonstration,Police brutality; Investigation of police shooting; Racial injustice,,0
2013-06-17,Raleigh,NC,demonstration,First Amendment rights; Oppose rightward political shift; Challenge legislative policies; Political representation,900.0,900
2013-07-04,Chicago,IL,demonstration,education; economic justice; Stop school closings; Prioritize education funding; Oppose corporate tax breaks; municipal policy,,0
2013-07-06,Hawthorne,CA,demonstration,Police brutality; Animal rights; Stop police violence against animals,,0
2013-07-13,Las Vegas,NV,demonstration,Investigation of police shootings; Civil rights; Police accountability; Police brutality,,0
2013-07-13,Los Angeles,CA,demonstration,Racial profiling; Racial justice; Racial discrimination; Criminal Justice; Police brutality; Racial Profiling; Racial Justice; Justice for Trayvon Martin; Justice for Trayvon; Police Brutality,200.0,0
2013-07-13,Oakland,CA,demonstration,Racial profiling; Racial justice; Racial discrimination; Criminal Justice; Police brutality; Racial Profiling; Racial Justice; Justice for Trayvon Martin; Justice for Trayvon; Police Brutality,100.0,0
2013-07-13,Sacramento,CA,demonstration,Racial profiling; Racial justice; Racial discrimination; Criminal Justice; Police brutality; Racial Profiling; Racial Justice; Justice for Trayvon Martin; Justice for Trayvon; Police Brutality,40.0,0
2013-07-13,San Francisco,CA,demonstration,Racial profiling; Racial justice; Racial discrimination; Criminal Justice; Police brutality; Racial Profiling; Racial Justice; Justice for Trayvon Martin; Justice for Trayvon; Police Brutality,,0
2013-07-14,Detroit,MI,demonstration,Civil rights investigation; Racial discrimination; Police brutality; Racial injustice; Justice for Trayvon Martin,,0
2013-07-14,Long Beach,CA,demonstration,Police brutality; Justice for Trayvon Martin; Racial discrimination,,0
2013-07-14,Los Angeles,CA,demonstration,Police brutality; racial justice; Repeal of Florida's self-defense laws; racial violence; police brutality; Justice for Trayvon Martin; Racial justice; justice for Trayvon Martin,,0
2013-07-14,Madison,WI,demonstration,racial justice; Justice for Trayvon Martin; police violence,,0
2013-07-14,Milwaukee,WI,demonstration,police violence; racial justice; Justice for Trayvon Martin; Racial justice; Police violence,100.0,0
2013-07-14,Multiple Cities,US,demonstration,Self-Defense Laws; Federal Civil Rights Charges Against Zimmerman; Racial Injustice; Justice for Trayvon Martin; Police Brutality,,0
2013-07-14,Multiple Cities,USA,demonstration,Federal Civil Rights Charges against Zimmerman; Criminal Justice; Racial Justice; Justice for Trayvon Martin; Police Brutality,,0
2013-07-14,Multiple Cities,Various States,demonstration,Self-Defense Laws; Racial profiling; Systemic racism; Federal Civil Rights Charges Against Zimmerman; Police brutality; Racial Justice; Federal civil rights charges against George Zimmerman; Justice for Trayvon Martin; Racial justice; Police Brutality,,18
2013-07-14,Oakland,CA,demonstration,Civil rights investigation; Racial justice; Racial violence; Police brutality; racial justice; Police Brutality; Racial Justice; racial violence; police brutality; Justice for Trayvon Martin; Justice for Trayvon; justice for Trayvon Martin,,0
2013-07-14,San Francisco,CA,demonstration,Police brutality; racial justice; racial violence; police brutality; Justice for Trayvon Martin; Racial justice; justice for Trayvon Martin,,0
2013-07-14,San Jose,CA,demonstration,Police brutality; Justice for Trayvon Martin; Review of case; Racial violence,,0
2013-07-14,Washington,DC,demonstration,Racial Justice; Police Brutality; Federal Civil Rights Charges against Zimmerman,,0
2013-07-15,Houston,TX,demonstration,Police brutality; Racial justice; Federal charges against George Zimmerman,,0
2013-07-15,Little Rock,AR,demonstration,Racial justice; End black-on-black violence; Stop black-on-black violence; Police brutality; Justice for Deon Williams; End police profiling; Police accountability; Police violence,26.0,0
2013-07-15,Los Angeles,CA,demonstration,Racial discrimination; Racial injustice; Criminal justice; Police brutality; Justice for Trayvon Martin,,1
2013-07-15,Minneapolis,MN,demonstration,Criminal justice system; Justice for Terrance Franklin; Police brutality; Civil rights charges against George Zimmerman; Justice for Trayvon Martin; Racial justice,,0
2013-07-15,Oakland,CA,demonstration,Racial discrimination; Police brutality; racial justice; End racial profiling; police brutality; Justice for Trayvon Martin; Racial justice; Police violence,,6
2013-07-15,Wichita,KS,demonstration,Racial discrimination; Police brutality; End Racial Profiling; Racial Justice; Racial Profiling; Justice for Trayvon Martin; Police Brutality,100.0,0
2013-07-16,Houston,TX,demonstration,Racial injustice; Justice for Trayvon Martin; Police brutality,,2
2013-07-16,Los Angeles,CA,demonstration,Racial injustice; racial justice; Police brutality; police brutality; Justice for Trayvon Martin,100.0,1
2013-07-16,Oakland,CA,demonstration,Racial injustice; racial justice; Police brutality; police brutality; Justice for Trayvon Martin; Racial justice,,6
2013-07-17,Pittsburgh,PA,demonstration,Provide greater access to fresh food in poorer neighborhoods; Support development in predominantly black communities; Support development in black communities; Denounce stand-your-ground law; Renounce state-sanctioned murder; Racial Justice; Improve food access in poorer neighborhoods; Police Brutality,,0
2013-07-17,Seattle,WA,demonstration,Police brutality; DOJ investigation of Trayvon Martin case; Racial justice; Revise Stand Your Ground laws; Criminal justice reform,100.0,0
2013-07-18,Las Vegas,NV,demonstration,Investigation of police shootings; Civil rights; Police accountability; Police brutality,,0
2013-07-18,San Bernardino,CA,demonstration,Review Zimmerman case; Zimmerman trial; End 'stand your ground' laws; End Stand Your Ground laws; Police brutality; racial justice; police brutality; Justice for Trayvon Martin; Racial justice,100.0,11
2013-07-19,Oakland,CA,demonstration,Racial profiling; Stop racial profiling; racial discrimination; Racial discrimination; Police brutality; racial justice; Racial injustice; Criminal justice; systemic racism; End racial profiling; police brutality; Justice for Trayvon Martin; Racial justice,100.0,0
2013-07-20,Athens,GA,demonstration,Address racial injustice; Examine Stand Your Ground laws; Criminal Justice; Racial Justice; Justice for Trayvon Martin; Police Brutality,,0
2013-07-20,Dallas,TX,demonstration,Stand your ground laws; Police brutality; End racial profiling; Voter registration; Justice for Trayvon Martin; Racial justice,,0
2013-07-20,Daytona Beach,FL,demonstration,Civil rights; File federal civil rights charges against George Zimmerman; Educate young Black men about handling confrontations; Police brutality; Racial justice,,0
2013-07-20,Long Beach,CA,demonstration,Repeal Stand Your Ground law; Justice for Trayvon Martin; police brutality; racial justice,,0
2013-07-20,Los Angeles,CA,demonstration,Federal investigation into Trayvon Martin's death; Abolish Florida's 'Stand Your Ground' law; Racial discrimination; Police brutality; Criminal justice; Charge George Zimmerman with federal charges,,0
2013-07-20,Marshall,TX,demonstration,Criminal Justice Reform; Change Florida's Stand Your Ground law; Racial Justice; Racial Profiling; Justice for Trayvon Martin; Police Brutality,,0
2013-07-20,McAlester,OK,demonstration,Police brutality; Justice for Trayvon Martin; Racial discrimination,30.0,0
2013-07-20,Minneapolis,MN,demonstration,Racial profiling; Justice for Trayvon Martin; Justice for Terrence Franklin; Police violence,100.0,0
